File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0101.a5.txt,a5,6,1,1,254,51,95,135
0102.a5.txt,a5,12,7,5,210,34,111,131
0103.a5.txt,a5,6,8,7,204,43,69,122
0104.a5.txt,a5,7,6,6,211,41,71,104
0105.a5.txt,a5,2,12,3,163,62,59,111
0106.a5.txt,a5,2,0,0,207,68,88,100
0107.a5.txt,a5,3,0,0,231,63,90,141
0108.a5.txt,a5,8,0,6,269,42,98,136
0111.a5.txt,a5,9,9,4,179,33,73,112
0112.a5.txt,a5,4,0,2,243,65,72,121
0115.a5.txt,a5,16,3,2,154,56,87,125
0119.a5.txt,a5,9,9,3,222,28,89,132
0121.a5.txt,a5,19,0,6,234,58,93,156
0122.a5.txt,a5,7,0,1,197,41,81,115
0125.a5.txt,a5,1,0,2,232,50,92,105
0128.a5.txt,a5,1,7,0,201,50,86,117
0130.a5.txt,a5,26,3,1,209,35,94,117
0134.a5.txt,a5,20,4,7,222,60,90,125
0137.a5.txt,a5,12,7,11,193,49,62,114
0139.a5.txt,a5,28,3,6,166,39,65,148
0140.a5.txt,a5,14,8,12,190,31,70,114
0149.a5.txt,a5,1,0,2,325,46,104,156
0157.a5.txt,a5,6,0,0,197,67,72,133
0158.a5.txt,a5,19,0,4,180,62,87,137
0159.a5.txt,a5,0,0,0,241,38,110,121
0161.a5.txt,a5,4,0,3,271,32,120,109
0163.a5.txt,a5,1,0,0,304,57,116,123
0165.a5.txt,a5,5,0,3,234,33,95,113
0171.a5.txt,a5,33,14,2,217,53,72,131
0178.a5.txt,a5,11,30,6,224,68,117,150
0182.a5.txt,a5,10,0,3,282,53,92,134
0185.a5.txt,a5,4,8,3,212,26,85,123
0186.a5.txt,a5,6,0,0,241,49,109,119
0187.a5.txt,a5,5,1,5,252,40,86,122
0188.a5.txt,a5,8,1,2,201,59,96,136
0192.a5.txt,a5,15,2,7,196,52,77,132
0193.a5.txt,a5,1,0,1,254,46,97,125
0197.a5.txt,a5,37,1,15,185,41,46,109
0198.a5.txt,a5,2,0,0,220,38,83,104
0199.a5.txt,a5,7,11,1,190,40,81,104
0200.a5.txt,a5,11,4,5,169,49,80,134
0206.a5.txt,a5,10,1,6,182,44,87,117
0214.a5.txt,a5,18,11,3,184,35,75,124
0215.a5.txt,a5,39,2,9,224,36,71,121
0219.a5.txt,a5,3,0,3,229,67,99,109
0222.a5.txt,a5,0,1,1,184,43,72,119
0223.a5.txt,a5,6,2,6,209,51,89,136
