File,Folder,PERSON,LOC,ORG,NOUN,ADV,ADJ,VERB
0103.b4.txt,b4,59,0,4,176,60,78,150
0105.b4.txt,b4,49,0,5,141,64,61,136
0107.b4.txt,b4,35,0,6,252,34,91,173
0139.b4.txt,b4,58,0,11,226,46,77,161
0140.b4.txt,b4,73,0,10,141,57,48,137
0158.b4.txt,b4,37,0,1,198,81,87,173
0165.b4.txt,b4,61,0,10,151,48,56,129
0178.b4.txt,b4,60,0,0,380,155,162,270
0200.b4.txt,b4,44,0,4,179,104,102,138
0219.b4.txt,b4,38,0,3,165,45,52,99
0300.b4.txt,b4,34,0,13,189,40,54,133
0308.b4.txt,b4,39,0,1,158,66,62,121
0310.b4.txt,b4,52,0,4,264,69,115,192
0318.b4.txt,b4,65,0,7,304,76,81,203
1003.b4.txt,b4,54,0,3,233,31,73,171
1021.b4.txt,b4,69,0,11,180,53,63,142
1023.b4.txt,b4,33,0,12,98,62,63,74
1057.b4.txt,b4,53,0,4,226,55,73,176
1069.b4.txt,b4,53,0,7,153,86,68,143
1097.b4.txt,b4,60,0,9,225,71,85,165
1100.b4.txt,b4,56,0,5,172,34,54,120
1112.b4.txt,b4,61,0,11,211,66,70,190
1508.b4.txt,b4,99,0,8,177,43,67,150
1520.b4.txt,b4,82,0,4,207,66,94,157
1528.b4.txt,b4,51,0,11,208,79,79,171
1532.b4.txt,b4,72,0,10,165,72,54,159
2018.b4.txt,b4,70,0,8,152,45,50,166
2030.b4.txt,b4,57,0,9,187,60,70,166
2034.b4.txt,b4,55,0,14,174,48,85,116
