File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0101.a3.txt,a3,2268.17,538.85,802.01,1228.07,1,0,1
0102.a3.txt,a3,2060.68,391.91,568.9,1302.15,2,0,0
0103.a3.txt,a3,2343.5,577.85,1203.85,995.18,8,0,1
0104.a3.txt,a3,1878.45,593.92,690.61,1215.47,2,0,0
0105.a3.txt,a3,1843.19,825.31,687.76,1389.27,1,0,0
0106.a3.txt,a3,2506.85,643.84,849.32,1054.79,1,0,0
0107.a3.txt,a3,2458.79,480.77,934.07,1208.79,3,0,1
0109.a3.txt,a3,2128.57,500.0,485.71,1514.29,3,0,1
0110.a3.txt,a3,2202.46,533.52,738.71,1367.99,1,0,0
0111.a3.txt,a3,2170.09,439.88,586.51,1407.62,2,0,0
0112.a3.txt,a3,2339.03,657.03,762.16,1143.23,1,0,0
0115.a3.txt,a3,2456.4,770.35,741.28,1366.28,0,0,1
0118.a3.txt,a3,2727.27,376.18,909.09,1253.92,0,0,1
0119.a3.txt,a3,2506.85,493.15,808.22,1356.16,2,0,0
0120.a3.txt,a3,2336.45,545.17,981.31,1152.65,0,0,0
0121.a3.txt,a3,2135.34,586.47,556.39,1187.97,2,0,1
0122.a3.txt,a3,2623.83,481.93,722.89,1231.59,1,0,0
0125.a3.txt,a3,2258.95,523.42,1115.7,1101.93,2,0,4
0127.a3.txt,a3,2244.9,580.85,894.82,1098.9,6,0,1
0128.a3.txt,a3,2243.13,752.53,549.93,1201.16,2,0,1
0130.a3.txt,a3,1911.76,762.03,762.03,1163.1,2,0,0
0131.a3.txt,a3,2450.14,769.23,811.97,1196.58,0,0,0
0133.a3.txt,a3,2167.04,688.49,632.05,1162.53,3,0,1
0134.a3.txt,a3,2370.17,639.15,1025.3,1078.56,0,0,0
0135.a3.txt,a3,2272.09,462.83,687.24,1402.52,1,0,0
0136.a3.txt,a3,2351.42,490.96,697.67,1447.03,2,0,0
0137.a3.txt,a3,2280.45,736.54,892.35,1090.65,0,0,0
0138.a3.txt,a3,2292.68,357.72,699.19,1495.93,1,0,0
0139.a3.txt,a3,2193.36,360.75,707.07,1645.02,1,0,0
0142.a3.txt,a3,2416.67,333.33,1083.33,1270.83,0,0,0
0143.a3.txt,a3,2457.96,413.97,659.77,1099.61,3,0,1
0146.a3.txt,a3,1815.72,542.01,677.51,1693.77,4,0,0
0149.a3.txt,a3,2351.99,689.38,624.49,1305.76,0,0,0
0155.a3.txt,a3,2129.96,481.35,806.26,1179.3,2,0,0
0156.a3.txt,a3,2205.48,465.75,630.14,1273.97,1,0,0
0157.a3.txt,a3,1692.09,596.39,651.87,1595.01,1,0,0
0158.a3.txt,a3,1988.13,563.8,816.02,1483.68,2,0,0
0159.a3.txt,a3,2446.24,645.16,618.28,1276.88,1,0,3
0161.a3.txt,a3,2341.33,507.76,930.89,1043.72,0,0,0
0162.a3.txt,a3,2668.54,449.44,758.43,997.19,1,0,1
0163.a3.txt,a3,2058.82,708.56,788.77,1149.73,0,0,1
0165.a3.txt,a3,2031.82,477.36,685.43,1321.91,2,0,0
0168.a3.txt,a3,2008.8,542.52,762.46,1436.95,1,0,1
0169.a3.txt,a3,2606.38,465.43,691.49,1183.51,2,0,0
0171.a3.txt,a3,2023.81,607.14,714.29,1440.48,2,0,0
0172.a3.txt,a3,2331.21,471.34,828.03,1171.97,1,0,0
0173.a3.txt,a3,2473.12,553.0,599.08,1336.41,0,0,0
0174.a3.txt,a3,2138.55,466.87,1250.0,1204.82,0,0,0
0175.a3.txt,a3,2058.82,420.17,602.24,1414.57,2,0,0
0176.a3.txt,a3,2462.99,457.6,578.73,1305.52,4,0,0
0177.a3.txt,a3,2251.31,837.7,785.34,1321.99,2,0,2
0178.a3.txt,a3,2424.94,681.29,877.6,1143.19,0,0,0
0179.a3.txt,a3,2526.18,458.12,615.18,1282.72,2,0,1
0182.a3.txt,a3,2287.17,648.03,686.15,1232.53,0,0,1
