File,Folder,RelFreq NOUN,RelFreq ADV,RelFreq ADJ,RelFreq VERB,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,b5,2004.73,413.96,987.58,1241.87,4,0,4
0140.b5.txt,b5,1652.11,553.13,655.02,1186.32,13,0,0
0165.b5.txt,b5,2011.64,423.94,864.51,1213.63,6,0,1
0200.b5.txt,b5,1899.09,574.63,805.89,1191.31,8,0,3
0300.b5.txt,b5,2160.19,485.44,987.06,1011.33,11,1,8
0310.b5.txt,b5,1822.8,573.71,936.82,1205.52,5,0,2
1003.b5.txt,b5,1802.01,464.04,603.25,1260.63,3,0,0
1021.b5.txt,b5,2012.99,346.32,714.29,1176.05,8,0,2
1023.b5.txt,b5,1687.07,748.3,755.1,1442.18,8,2,0
1057.b5.txt,b5,1851.85,529.1,945.77,1137.57,11,0,1
1100.b5.txt,b5,2078.88,386.2,870.99,1240.76,10,0,5
1508.b5.txt,b5,1547.53,545.32,508.47,1400.15,11,0,1
1532.b5.txt,b5,1890.46,397.53,450.53,1448.76,9,0,1
1533.b5.txt,b5,1846.72,484.76,535.55,1385.04,7,0,2
2019.b5.txt,b5,1600.69,378.66,628.23,1299.48,7,0,2
2028.b5.txt,b5,1836.61,430.65,544.65,1570.61,8,0,5
2032.b5.txt,b5,1446.46,576.08,632.44,1659.36,10,1,5
2034.b5.txt,b5,1908.53,518.91,888.3,1160.95,8,0,0
2066.b5.txt,b5,1510.46,527.75,782.53,1583.26,8,0,1
3018.b5.txt,b5,1826.85,572.27,792.37,1173.88,4,0,6
3020.b5.txt,b5,2042.19,335.57,949.19,997.12,7,0,2
